,lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,pocet_odberat,pocet_mist,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
0,Abertamy,K,0.0,1.0,0.0,0.0,0.0,0.81,2,1,0.0,0.0,0.0,0.0,570.27,625.0,0.0,0.0,0.0,0.0,0.0,0.0,570.27,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,570.27,1764.0
1,Adamov,B,0.0,1.0,0.0,0.0,0.0,2.2030000000000003,1,1,0.0,0.0,224.94,22964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.94,22964.0
2,Adamov - Opletalova 38 a 22,B,0.0,1.0,0.0,0.0,0.0,0.46,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.43,1382.0,662.43,1382.0
3,Adamov - P. Jilemnického 18 (K 72),B,0.0,1.0,0.0,0.0,0.0,0.09,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.49,514.0,324.49,514.0
4,Adamov - teplovodní zdroj,B,0.0,1.0,0.0,0.0,0.0,9.0,37,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.92,26492.0,0.0,0.0,540.92,26492.0
5,Andělská Hora 215 - ZŠ,T,0.0,1.0,0.0,0.0,0.0,0.192,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.9,917.0,558.9,917.0
6,Arnoltice,M,1.0,0.0,0.0,0.0,0.0,0.18,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.55,1062.0,402.55,1062.0
7,Aš,K,0.0,0.993,0.006999999999999999,0.0,0.0,15.65,58,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.32,6662.0,0.0,0.0,569.24,40342.0,0.0,0.0,0.0,0.0,566.4166862394691,47004.0
8,"Aš - Vojtanov, nelicencované",K,0.0,0.7601,0.0,0.23989999999999997,0.0,0.419,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.2,1496.0,536.2,1496.0
9,Babice,Z,0.0,1.0,0.0,0.0,0.0,1.29,1,1,0.0,0.0,299.68,5991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.68,5991.0
10,Babice 146,M,0.0,1.0,0.0,0.0,0.0,0.07,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.66,233.0,458.65999999999997,233.0
11,Batelov - DPS,J,0.0,1.0,0.0,0.0,0.0,0.048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.28,139.0,198.28,139.0
12,Batelov - ZŠ,J,0.0,1.0,0.0,0.0,0.0,0.204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.66,575.0,579.66,575.0
13,Bečov,U,0.0,1.0,0.0,0.0,0.0,1.29,1,1,0.0,0.0,265.55,12538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.55,12538.0
14,Bečov,U,0.0,1.0,0.0,0.0,0.0,7.05,6,23,0.0,0.0,0.0,0.0,480.51,6037.0,0.0,0.0,0.0,0.0,0.0,0.0,480.51,13129.0,0.0,0.0,0.0,0.0,0.0,0.0,480.51,19166.0
15,Bechyně - CZT,C,0.0,0.0040999999999999995,0.9959,0.0,0.0,7.3,38,58,0.0,0.0,0.0,0.0,0.0,0.0,555.84,6508.0,555.84,8045.0,555.84,5953.0,0.0,0.0,0.0,0.0,555.84,10090.0,0.0,0.0,555.84,30596.0
16,Bělá nad Radbuzou,P,0.0808,0.9192,0.0,0.0,0.0,1.98,2,5,0.0,0.0,0.0,0.0,856.2,1267.0,0.0,0.0,0.0,0.0,0.0,0.0,856.2,1852.0,0.0,0.0,0.0,0.0,714.12,5074.0,768.2085536433541,8193.0
17,"Benátky nad Jizerou - teplárna, Ořechová 668",S,0.0,1.0,0.0,0.0,0.0,7.7010000000000005,11,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.85,19329.0,0.0,0.0,717.85,19329.0
18,"Benátky nad Jizerou - výtopna, Husovo nám. 39",S,0.0,1.0,0.0,0.0,0.0,1.6,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.52,3147.0,0.0,0.0,0.0,0.0,0.0,0.0,624.52,3147.0
19,Benešov,S,0.0,1.0,0.0,0.0,0.0,1.274,1,1,0.0,0.0,218.62,8985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.62,8985.0
20,Benešov,S,0.0,0.9863,0.0,0.0,0.0137,37.184,39,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.67,3109.0,588.61,79248.0,0.0,0.0,587.404255983098,82357.0
21,Benešov - Černoleská 1930,S,0.0,1.0,0.0,0.0,0.0,15.4,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.53,393.0,0.0,0.0,685.51,9020.0,0.0,0.0,685.5108350154043,9413.0
22,Benešov - Jiráskova 2042,S,0.0,1.0,0.0,0.0,0.0,0.375,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.46,1372.0,694.46,1372.0
23,Benešov - Máchova 400,S,0.0,0.7536,0.0,0.0,0.2464,14.7,9,9,0.0,0.0,0.0,0.0,0.0,0.0,697.75,4282.0,0.0,0.0,0.0,0.0,0.0,0.0,697.75,2848.0,0.0,0.0,0.0,0.0,697.75,7130.0
24,Benešov nad Ploučnicí,U,0.0,1.0,0.0,0.0,0.0,2.722,11,15,0.0,0.0,0.0,0.0,619.2,3759.0,0.0,0.0,0.0,0.0,0.0,0.0,619.2,7973.0,0.0,0.0,0.0,0.0,0.0,0.0,619.2,11732.0
25,Benešov nad Ploučnicí - (DK),U,0.0,1.0,0.0,0.0,0.0,0.935,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.18,3692.0,569.1799999999998,3692.0
26,Beroun - CZT,S,0.0,1.0,0.0,0.0,0.0,34.2,153,157,0.0,0.0,0.0,0.0,0.0,0.0,660.54,21143.0,0.0,0.0,0.0,0.0,0.0,0.0,707.79,90781.0,0.0,0.0,0.0,0.0,698.8642401093599,111924.0
27,Beroun - Lidická 785,S,0.0,1.0,0.0,0.0,0.0,0.128,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.19,1009.0,719.19,1009.0
28,Beroun - nelicencované,S,0.0,1.0,0.0,0.0,0.0,0.38799999999999996,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.63,1384.0,346.63,1384.0
