obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Abertamy,K,2,1,1,0.81,1764.0,570.27,0.0,0.0,1764.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adamov,B,41,32,4,11.753,51352.0,400.72131406761173,0.0,0.0,51352.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andělská Hora,T,1,1,1,0.192,917.0,558.9,0.0,0.0,917.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnoltice,M,3,2,1,0.18,1062.0,402.55,1062.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aš,K,61,84,2,16.069,48500.0,565.4846416494846,0.0,0.0,47812.081600000005,0.9858161154639177,329.02799999999996,0.006784082474226803,358.8904,0.00739980206185567,0.0,0.0
Babice,Z,2,2,2,1.36,6224.0,305.6315327763496,0.0,0.0,6224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Batelov,J,2,2,2,0.252,714.0,505.41375350140055,0.0,0.0,714.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bechyně,C,38,58,1,7.3,30596.0,555.84,0.0,0.0,125.44359999999999,0.0040999999999999995,30470.5564,0.9959,0.0,0.0,0.0,0.0
Benešov,S,58,160,5,68.93299999999999,109257.0,574.0741839882113,0.0,0.0,106371.8771,0.9735932443687818,0.0,0.0,0.0,0.0,2885.1229000000003,0.02640675563121814
Benešov nad Ploučnicí,U,14,18,2,3.657,15424.0,607.2268516597511,0.0,0.0,15424.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Benátky nad Jizerou,S,13,29,2,9.301,22476.0,704.7823051254671,0.0,0.0,22476.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Beroun,S,193,199,6,40.351,139616.0,678.8101611563144,0.0,0.0,139616.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bezdružice,P,7,9,2,2.07,5331.0,519.6770211967736,0.0,0.0,5331.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bečov,U,7,24,2,8.34,31704.0,395.49963916225084,0.0,0.0,31704.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Blansko,B,138,158,36,30.971999999999994,102394.0,525.0095712639412,0.0,0.0,102394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Blatná,C,11,51,3,9.634,38399.0,413.9808586161098,0.0,0.0,38399.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bludov,M,2,2,1,0.18,602.0,494.66651162790697,0.0,0.0,602.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bochov,K,11,17,1,1.88,8825.0,546.3171138810198,0.0,0.0,8337.86,0.9448000000000001,0.0,0.0,487.13999999999993,0.05519999999999999,0.0,0.0
Bohumín,T,39,282,5,42.628,342704.0,530.1997972302629,304241.7075,0.8877681833302209,18762.0445,0.054747083488958403,10253.4276,0.029919194406835055,107.2216,0.00031286941500536906,9320.3616,0.027196535785984407
Bohušovice nad Ohří,U,9,9,9,0.97,4773.0,561.0472051120888,0.0,0.0,4773.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojkovice,Z,1,1,1,1.274,10870.0,210.39,0.0,0.0,10870.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolatice,T,1,4,1,0.732,1981.0,665.6,0.0,0.0,1981.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Boletice u Českého Krumlova,C,1,3,1,0.204,495.0,764.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,1.0
Bor,P,28,25,1,5.4,17203.0,586.5,0.0,0.0,17203.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bor u Tachova,P,1,14,1,1.959,4107.0,559.81,0.0,0.0,4107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Borohrádek,H,7,11,2,1.6039999999999999,2977.0,530.4950083977159,933.8912000000001,0.31370211622438704,2043.1088,0.6862978837756131,0.0,0.0,0.0,0.0,0.0,0.0
Borovany,C,58,34,7,4.3,16074.0,524.1443175314172,0.0,0.0,16074.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Boskovice,B,40,59,8,15.038,27546.0,719.0397161112321,0.0,0.0,27546.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouzov,M,195,129,2,0.65,27689.0,371.4249972913431,0.0,0.0,0.0,0.0,27689.0,1.0,0.0,0.0,0.0,0.0
Bořetice,B,1,9,1,0.696,3398.0,211.59999999999997,0.0,0.0,0.0,0.0,3199.5568,0.9416,198.4432,0.0584,0.0,0.0
