lokalita,kraj,pod_uhli,pod_plyn,pod_bio,pod_olej,pod_ost,vykon,nad_10_czk,nad_10_gj,pod_10_czk,pod_10_gj,cptv_czk,cptv_gj,prim_rozv_czk,prim_rozv_gj,cvs_czk,cvs_gj,cvs_voda_czk,cvs_voda_gj,blok_kot_czk,blok_kot_gj,sek_rozv_czk,sek_rozv_gj,dps_czk,dps_gj,dom_kot_czk,dom_kot_gj,dod_cena,dod_mnozstvi
Abertamy - Hornická 468,K,0.0,100.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.38,736.0,600.38,736.0
Adamov,B,0.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.25,27000.0,0.0,0.0,547.25,27000.0
Adamov,B,0.0,100.0,0.0,0.0,0.0,2.2030000000000003,0.0,0.0,255.31,22900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.31,22900.0
Adamov - Opletalova 38 a 22,B,0.0,100.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.95,1400.0,641.95,1400.0
Adamov - Petra Jilemnického 18 (K 72),B,0.0,100.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.99,549.0,333.99,549.0
Albrechtice v Jizerských Horách,L,0.0,0.0,0.0,100.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.34,60.0,1173.34,60.0
Andělská Hora - ZŠ,T,0.0,100.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,1300.0,505.0,1300.0
Arnoltice,M,100.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,1100.0,407.0,1100.0
Aš,K,0.0,99.21,0.79,0.0,0.0,14.665999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,6543.0,0.0,0.0,581.9,42856.0,0.0,0.0,0.0,0.0,579.1317516548918,49399.0
Aš - Hlávkova 1375/8,K,0.0,100.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.15,370.0,488.15,370.0
Aš - U Nádraží 5,K,0.0,100.0,0.0,0.0,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.23,850.0,444.23,850.0
Babice,M,0.0,100.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.55,240.0,516.55,240.0
Babice,Z,0.0,100.0,0.0,0.0,0.0,1.29,0.0,0.0,379.5,5958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.5,5958.0
Batelov - DPS,J,0.0,100.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.71,360.0,307.71,360.0
Batelov - ZŠ,J,0.0,100.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.77,618.0,564.77,618.0
Bečov,U,0.0,100.0,0.0,0.0,0.0,1.29,0.0,0.0,274.89,12362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.89,12362.0
Bečov,U,0.0,100.0,0.0,0.0,0.0,7.05,0.0,0.0,0.0,0.0,560.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,18200.0
Bechyně - Písecká 761,C,0.0,0.0,100.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,555.56,10755.0,0.0,0.0,555.56,4284.0,0.0,0.0,0.0,0.0,555.56,14825.0,0.0,0.0,555.56,29864.0
Bělá nad Radbuzou,P,0.0,100.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,816.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,1870.0,0.0,0.0,0.0,0.0,743.0,4500.0,773.3376623376623,7700.0
"Benátky nad Jizerou - teplárna, Ořechová 668",S,0.0,100.0,0.0,0.0,0.0,7.7010000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,22000.0,0.0,0.0,708.0,22000.0
"Benátky nad Jizerou - výtopna, Husovo nám. 39",S,0.0,100.0,0.0,0.0,0.0,1.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,3400.0
Benešov,S,0.0,100.0,0.0,0.0,0.0,1.274,0.0,0.0,293.7,8950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.7,8950.0
Benešov,S,0.0,100.0,0.0,0.0,0.0,37.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.53,2550.0,598.34,77000.0,0.0,0.0,597.2562099308611,79550.0
Benešov - Černoleská 1930,S,0.0,100.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.67,535.0,0.0,0.0,759.67,8894.0,0.0,0.0,759.67,9429.0
Benešov - Jiráskova 2042,S,0.0,100.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,1635.0,611.0,1635.0
Benešov - Máchova 400,S,0.0,100.0,0.0,0.0,0.0,13.884,0.0,0.0,0.0,0.0,0.0,0.0,641.74,4458.0,0.0,0.0,0.0,0.0,0.0,0.0,641.74,2966.0,0.0,0.0,0.0,0.0,641.74,7424.0
Benešov nad Ploučnicí,U,0.0,100.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,485.35,3975.0,0.0,0.0,0.0,0.0,0.0,0.0,485.35,8110.0,0.0,0.0,0.0,0.0,0.0,0.0,485.35,12085.0
Benešov nad Ploučnicí - (DK),U,0.0,100.0,0.0,0.0,0.0,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.64,5060.0,556.64,5060.0
Benešov nad Ploučnicí - Sídliště 652,U,0.0,100.0,0.0,0.0,0.0,0.6890000000000001,0.0,0.0,180.0,7574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,7574.0
Benešov u Boskovic,B,0.0,0.0,100.0,0.0,0.0,0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,3420.0,0.0,0.0,275.0,3420.0
Beroun,S,0.0,100.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,627.51,17994.0,644.87,7024.0,0.0,0.0,0.0,0.0,667.63,10053.0,677.53,80351.0,0.0,0.0,666.8822169083884,115422.0
Beroun - Husovo nám. 68,S,0.0,100.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.64,1119.0,362.64,1119.0
Beroun - Lidická 785,S,0.0,100.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.19,1172.0,701.19,1172.0
"Beroun - Pod Studánkou 914, kotelna Hlinky",S,0.0,100.0,0.0,0.0,0.0,5.4510000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.28,15180.0,0.0,0.0,556.22,6820.0,0.0,0.0,577.6514000000001,22000.0
Beroun - U Kasáren 813,S,0.0,100.0,0.0,0.0,0.0,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.43,488.0,401.43,488.0
Beroun - U Nádraží 129,S,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.74,1212.0,662.74,499.0,0.0,0.0,662.74,284.0,0.0,0.0,0.0,0.0,662.74,1995.0
Beroun - V Zahradách 1875,S,0.0,100.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.94,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,741.94,3696.0
Bezdružice - Na Sídliš(cid:415) 299,P,0.0,100.0,0.0,0.0,0.0,1.035,0.0,0.0,385.0,5987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,5987.0
Bílina - areál Doly,U,91.37,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.94,461.0,0.0,0.0,480.94,420.0,0.0,0.0,480.94,47259.0,0.0,0.0,0.0,0.0,480.94000000000005,48140.0
Bílovec - 17. listopadu 316,T,0.0,100.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.36,750.0,415.36,750.0
Bílovec - 17. listopadu 317,T,0.0,100.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.36,750.0,415.36,750.0
"Bílovec - 17.listopadu 526, Gymnázium M. Koperníka",T,0.0,100.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.6,2910.0,383.6,2910.0
Bílovec - domovní kotelny,T,0.0,100.0,0.0,0.0,0.0,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.37,8720.0,493.37000000000006,8720.0
Bílovec - Dům kultury,T,0.0,100.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.48,1050.0,428.48,1050.0
Bílovec - MŠ Svobodova 358/6,T,0.0,100.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.25,260.0,448.25,260.0
