obec,kraj,vykon,teplo_mnozstvi,teplo_cena,uhli,plyn,biomasa,olej,ostatni,pod_uhli,pod_plyn,pod_biomasa,pod_olej,pod_ostatni
Abertamy,K,0.132,736.0,600.38,0.0,736.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adamov,B,11.753,51849.0,418.6086425967714,0.0,51849.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Albrechtice v Jizerských Horách,L,0.064,60.0,1173.34,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0
Andělská Hora,T,0.3,1300.0,505.0,0.0,1300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Arnoltice,M,0.18,1100.0,407.0,1100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aš,K,14.918999999999999,50619.0,576.2014342440585,0.0,50228.7479,390.2521,0.0,0.0,0.0,0.9922904028131729,0.00770959718682708,0.0,0.0
Babice,M,1.36,6198.0,384.80687318489834,0.0,6198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Batelov,J,0.252,978.0,470.14668711656435,0.0,978.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bechyně,C,7.3,29864.0,555.56,0.0,0.0,29864.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Benešov,S,68.11699999999999,106988.0,589.4730034209443,0.0,106988.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Benešov nad Ploučnicí,U,4.344,24719.0,406.382667179093,0.0,24719.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Benešov u Boskovic,B,0.695,3420.0,275.0,0.0,0.0,3420.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Benátky nad Jizerou,S,9.376000000000001,25400.0,697.1574803149606,0.0,25400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Beroun,S,41.34,145892.0,652.325509692101,0.0,145892.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bezdružice,P,1.035,5987.0,385.0,0.0,5987.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bečov,U,8.34,30562.0,444.676074209803,0.0,30562.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blansko,B,28.400999999999996,98582.0,520.537187113266,0.0,98582.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blatná,C,5.264,37274.0,402.2889145248699,0.0,37274.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bludov,M,0.18,620.0,506.0,0.0,620.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bochov,K,1.8860000000000001,11630.0,455.8257867583835,0.0,11630.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bohumín,T,43.184,368046.0,539.1306541030198,335578.6706,17183.5884,3933.741,0.0,11350.0,0.911784588339501,0.04668869760845112,0.010688177564760927,0.0,0.030838536487286915
Bohušovice nad Ohří,U,2.426,7336.0,540.7256979280262,0.0,7336.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bojkovice,Z,1.274,10667.0,222.53000000000003,0.0,10667.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bolatice,T,0.732,1962.0,681.55,0.0,1962.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boletice u Českého Krumlova,C,0.204,378.0,711.82,0.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,1.0
Bor,P,5.4,17190.0,605.0,0.0,17190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bor u Tachova,P,1.959,4200.0,509.5,0.0,4200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Borohrádek,H,1.008,3149.0,479.4847475389012,0.0,3149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Borovany,C,4.38,16489.0,510.86129055734125,0.0,16489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boskovice,B,15.008,28100.0,615.5680462633452,0.0,28100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bouzov,M,0.84,26500.0,376.5811320754717,0.0,0.0,26500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bořetice,B,0.696,4500.0,165.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Brandýs nad Labem,S,17.079,53035.0,564.9874460262091,0.0,53035.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandýs nad Orlicí,E,1.182,2800.0,550.0,0.0,2800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandýsek,S,0.551,2800.0,420.89,0.0,2800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Braňany,U,4.54,15000.0,733.04,15000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brno,B,1278.6899999999982,5000954.0,516.2512082794605,0.0,3082119.988499999,76462.2308,0.0,1841994.0553000004,0.0,0.6163064064376516,0.01528952891788247,0.0,0.3683285339757175
Brnířov,P,0.17600000000000002,710.0,632.0,710.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brněnec,E,0.545,1250.0,641.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Brodek,M,1.609,3900.0,451.02,0.0,3900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Broumov,H,10.539000000000001,28784.0,503.5437354085603,0.0,28784.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Broumy,P,0.54,850.0,871.46,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,1.0
Brtnice,J,2.367,11530.0,603.9808152645273,0.0,11530.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brumov,Z,4.445,13600.0,643.5,0.0,2720.0,10880.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0
Bruntál,T,46.178,325223.0,423.6521364110164,140875.0,184348.0,0.0,0.0,0.0,0.4331643210966014,0.5668356789033986,0.0,0.0,0.0
Budišov nad Budišovkou,T,2.487,12000.0,627.67,0.0,12000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Budyně nad Ohří,U,0.21899999999999997,892.0,686.95,0.0,892.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Budíškovice,C,0.637,1650.0,123.75,0.0,0.0,1650.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bukovany,K,0.0,22500.0,586.5,22311.0,189.0,0.0,0.0,0.0,0.9916,0.0084,0.0,0.0,0.0
Bučovice,B,3.258,11485.0,571.3549629952113,0.0,11485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Buštěhrad,S,0.24,715.0,400.16,0.0,715.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bystřice nad Pernštejnem,J,17.754,87117.0,408.6077081396283,0.0,47162.443,39954.557,0.0,0.0,0.0,0.5413689980141648,0.4586310019858352,0.0,0.0
Bystřice pod Hostýnem,Z,19.355000000000004,75735.0,492.4148458440616,40020.0,32235.0,3480.0,0.0,0.0,0.5284214695979402,0.4256288373935433,0.045949693008516534,0.0,0.0
Bystřice u Benešova,S,2.5,6500.0,631.3,6500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Byšice,S,0.495,1300.0,588.54,0.0,1300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bzenec,B,0.78,3200.0,500.0,0.0,3200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bílina,U,0.0,48140.0,480.94000000000005,43985.518,4154.482,0.0,0.0,0.0,0.9137,0.0863,0.0,0.0,0.0
Bílovec,T,5.914999999999999,28532.0,454.75467895696056,0.0,28532.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bělá nad Radbuzou,P,2.22,7700.0,773.3376623376623,0.0,7700.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Břasy,P,1.349,2460.0,669.35,0.0,2460.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Břeclav,B,51.647999999999996,214088.0,568.0725021953589,0.0,214088.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Březnice,S,6.188,26672.0,591.1597368026395,0.0,25611.5572,1060.4428,0.0,0.0,0.0,0.9602413467306539,0.039758653269346134,0.0,0.0
Březno,U,0.94,4950.0,830.5,0.0,4950.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Březová u Sokolova,K,0.0,27813.0,625.55,27579.3708,233.62919999999997,0.0,0.0,0.0,0.9916,0.0084,0.0,0.0,0.0
Břidličná,T,6.0249999999999995,40315.0,475.7854297407913,1152.0,39163.0,0.0,0.0,0.0,0.028574972094753813,0.9714250279052462,0.0,0.0,0.0
Chabařovice,U,1.2710000000000001,5584.0,425.42755909742124,0.0,5584.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
